dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
141,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",209
142,Harry Potter and the Philosopher's Stone,1,Boy,Unknown,Human,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet.",98
143,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"But, Hagrid, how am I to pay for all this? I haven't any money.",63
144,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",108
145,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Uh, Hagrid, what exactly are these things?",42
146,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",160
147,Harry Potter and the Philosopher's Stone,1,Merpeople,Unknown,Human,And does Mr. Harry Potter have his key?,39
148,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.",200
149,Harry Potter and the Philosopher's Stone,1,Merpeople,Unknown,Human,Very well.,10
150,Harry Potter and the Philosopher's Stone,1,Griphook,Unknown,Goblin,"Vault 687. Lamp, please.  Key please.",37
151,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Didn't think your mum and dad would leave you with nothing now, did ya?",71
152,Harry Potter and the Philosopher's Stone,1,Griphook,Unknown,Goblin,Vault 713.,10
153,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"What's in there, Hagrid?",24
154,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Can't tell you, Harry. It's Hogwarts business. Very secret.",59
155,Harry Potter and the Philosopher's Stone,1,Griphook,Unknown,Goblin,Stand back.,11
156,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Best not mention this to anyone, Harry.",39
157,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,I still need...a wand.,22
158,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",137
159,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Hello? Hello?,13
160,Harry Potter and the Philosopher's Stone,1,Garrick Ollivander,Ravenclaw,Human,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",283
161,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"Sorry, but what's curious?",26
